Income,Coapplicant_Income,Loan_Tenor,Credit_History,Max_Loan_Amount,Gender_Female,Gender_Male,Married_No,Married_Yes,Dependents_0,Dependents_1,Dependents_2,Dependents_3+,Education_Graduate,Education_Not Graduate,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban,Loan_Status_Y
3083,2168.0,144.0,1.0,194.65,0,1,0,1,0,0,1,0,0,1,0,0,1,1
2625,6250.0,144.0,1.0,377.3,0,1,0,1,1,0,0,0,1,0,1,0,0,1
9083,0.0,144.0,1.0,387.78,0,1,0,1,1,0,0,0,1,0,0,1,0,1
8750,4167.0,144.0,1.0,581.02,0,1,1,0,1,0,0,0,1,0,1,0,0,0
2666,2083.0,144.0,1.0,169.35,0,1,0,1,0,0,0,1,1,0,1,0,0,1
5500,0.0,144.0,0.0,207.2,1,0,0,1,1,0,0,0,1,0,1,0,0,0
2423,505.0,144.0,1.0,77.57,1,0,0,1,1,0,0,0,1,0,0,1,0,1
8333,3167.0,144.0,1.0,379.6,0,1,0,1,0,0,1,0,1,0,1,0,0,1
3875,0.0,144.0,1.0,125.3,0,1,0,1,0,1,0,0,1,0,0,0,1,0
3000,1666.0,192.0,0.0,243.56,0,1,0,1,1,0,0,0,0,1,0,0,1,0
5167,3167.0,144.0,1.0,350.03,0,1,0,1,0,0,0,1,1,0,0,1,0,1
4723,0.0,144.0,1.0,168.04,1,0,1,0,0,1,0,0,1,0,0,1,0,0
5000,3667.0,144.0,1.0,366.82,0,1,0,1,0,0,1,0,1,0,0,1,0,1
4750,2333.0,144.0,1.0,286.98,0,1,0,1,1,0,0,0,1,0,0,0,1,1
6822,0.0,144.0,1.0,273.83,0,1,1,0,1,0,0,0,1,0,1,0,0,1
6216,0.0,144.0,1.0,243.29,0,1,1,0,1,0,0,0,0,1,1,0,0,0
2500,0.0,192.0,1.0,98.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0
6325,0.0,144.0,1.0,248.78,0,1,0,1,0,1,0,0,1,0,0,1,0,1
15759,0.0,144.0,1.0,294.25,1,0,1,0,1,0,0,0,1,0,0,1,0,1
5185,0.0,144.0,1.0,191.32,0,1,0,1,0,0,1,0,1,0,0,1,0,1
9323,7873.0,120.0,1.0,652.23,0,1,0,1,0,0,1,0,1,0,1,0,0,1
3062,1987.0,72.0,0.0,57.23,0,1,1,0,0,1,0,0,1,0,0,0,1,0
2764,1459.0,144.0,1.0,142.84,1,0,1,0,1,0,0,0,1,0,0,0,1,1
4817,923.0,72.0,1.0,74.65,0,1,0,1,1,0,0,0,1,0,0,0,1,1
8750,4996.0,144.0,1.0,622.8,0,1,0,1,0,0,0,1,1,0,1,0,0,1
3069,0.0,192.0,1.0,136.24,0,1,1,0,1,0,0,0,1,0,0,0,1,0
5391,0.0,144.0,1.0,201.71,0,1,0,1,0,0,1,0,1,0,0,0,1,1
3333,2500.0,144.0,1.0,223.98,0,1,0,1,1,0,0,0,1,0,0,1,0,1
5941,4232.0,144.0,1.0,442.72,0,1,1,0,1,0,0,0,1,0,0,1,0,1
6000,0.0,144.0,1.0,232.4,1,0,1,0,1,0,0,0,1,0,0,0,1,1
7167,0.0,144.0,1.0,291.22,0,1,1,0,1,0,0,0,1,0,0,0,1,1
4566,0.0,144.0,1.0,160.13,0,1,0,1,0,0,1,0,1,0,0,0,1,0
3667,0.0,72.0,1.0,22.41,0,1,1,0,0,1,0,0,1,0,0,0,1,1
2346,1600.0,144.0,1.0,128.88,0,1,1,0,1,0,0,0,0,1,0,1,0,1
3010,3136.0,144.0,0.0,239.76,0,1,0,1,1,0,0,0,0,1,0,0,1,0
2333,2417.0,144.0,1.0,169.4,0,1,0,1,1,0,0,0,1,0,0,0,1,1
5488,0.0,144.0,1.0,206.6,0,1,0,1,1,0,0,0,1,0,1,0,0,1
9167,0.0,144.0,1.0,392.02,0,1,1,0,0,0,0,1,1,0,1,0,0,1
9504,0.0,144.0,1.0,409.0,0,1,0,1,0,0,0,1,1,0,1,0,0,1
1993,1625.0,72.0,1.0,21.17,0,1,0,1,0,0,1,0,0,1,0,1,0,1
3100,1400.0,144.0,1.0,156.8,0,1,0,1,0,0,1,0,1,0,0,0,1,1
3180,0.0,144.0,0.0,90.27,1,0,1,0,1,0,0,0,1,0,0,0,1,0
3033,1459.0,144.0,1.0,156.4,0,1,0,1,1,0,0,0,1,0,0,0,1,1
3902,1666.0,144.0,1.0,210.63,0,1,1,0,1,0,0,0,0,1,1,0,0,1
1500,1800.0,144.0,0.0,96.32,1,0,1,0,1,0,0,0,1,0,0,1,0,0
2889,0.0,72.0,0.0,72.8,0,1,0,1,0,0,1,0,0,1,0,0,1,0
2755,0.0,120.0,1.0,45.71,0,1,1,0,1,0,0,0,0,1,1,0,0,0
2500,20000.0,144.0,1.0,634.0,0,1,1,0,1,0,0,0,1,0,0,1,0,1
1963,0.0,144.0,1.0,28.94,1,0,1,0,1,0,0,0,0,1,0,1,0,1
7441,0.0,144.0,1.0,305.03,1,0,1,0,1,0,0,0,1,0,1,0,0,0
4547,0.0,144.0,1.0,159.17,1,0,1,0,1,0,0,0,1,0,0,1,0,1
2167,2400.0,144.0,1.0,160.18,0,1,0,1,1,0,0,0,0,1,0,0,1,1
2213,0.0,144.0,1.0,41.54,1,0,1,0,1,0,0,0,0,1,1,0,0,1
8300,0.0,120.0,0.0,278.6,0,1,0,1,0,1,0,0,1,0,0,1,0,0
3867,0.0,144.0,1.0,124.9,1,0,1,0,0,1,0,0,0,1,0,1,0,0
6096,0.0,144.0,0.0,237.24,0,1,0,1,1,0,0,0,0,1,1,0,0,0
2253,2033.0,144.0,1.0,146.01,0,1,0,1,1,0,0,0,0,1,1,0,0,1
2149,3237.0,144.0,0.0,201.45,1,0,0,1,1,0,0,0,0,1,0,1,0,0
2995,0.0,144.0,1.0,80.95,1,0,1,0,1,0,0,0,1,0,0,0,1,1
2600,0.0,144.0,1.0,61.04,1,0,1,0,0,1,0,0,1,0,0,0,1,0
1600,20000.0,144.0,1.0,588.64,0,1,0,1,0,0,1,0,1,0,0,0,1,0
1025,2773.0,144.0,1.0,121.42,0,1,0,1,1,0,0,0,1,0,1,0,0,1
3246,1417.0,144.0,1.0,165.02,0,1,0,1,1,0,0,0,1,0,0,1,0,1
5829,0.0,144.0,1.0,223.78,0,1,0,1,1,0,0,0,1,0,1,0,0,1
1820,1719.0,144.0,1.0,108.37,0,1,0,1,1,0,0,0,1,0,0,0,1,1
14880,0.0,144.0,1.0,679.95,0,1,0,1,1,0,0,0,1,0,0,1,0,1
2666,4300.0,144.0,1.0,281.09,0,1,0,1,1,0,0,0,1,0,1,0,0,1
4606,0.0,144.0,1.0,162.14,1,0,1,0,0,1,0,0,0,1,1,0,0,0
5935,0.0,144.0,1.0,229.12,0,1,0,1,0,0,1,0,1,0,0,1,0,1
2920,16.12000084,144.0,1.0,77.98,0,1,0,1,1,0,0,0,1,0,1,0,0,1
8624,0.0,144.0,1.0,364.65,1,0,1,0,0,1,0,0,1,0,0,1,0,1
6500,0.0,144.0,0.0,257.6,0,1,1,0,1,0,0,0,1,0,1,0,0,0
12876,0.0,144.0,1.0,578.95,0,1,1,0,1,0,0,0,1,0,0,1,0,1
2425,2340.0,144.0,1.0,170.16,0,1,0,1,1,0,0,0,1,0,0,1,0,1
3750,0.0,144.0,1.0,119.0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
1926,1851.0,144.0,1.0,120.36,0,1,1,0,1,0,0,0,1,0,0,1,0,1
2213,1125.0,144.0,1.0,98.24,0,1,0,1,1,0,0,0,1,0,0,0,1,1
10416,0.0,144.0,0.0,454.97,0,1,1,0,1,0,0,0,1,0,0,0,1,0
7142,0.0,144.0,1.0,289.96,1,0,0,1,1,0,0,0,0,1,1,0,0,1
3660,5064.0,144.0,1.0,369.69,0,1,1,0,1,0,0,0,1,0,0,1,0,1
7901,1833.0,144.0,1.0,420.59,0,1,0,1,1,0,0,0,1,0,1,0,0,1
4707,1993.0,144.0,1.0,267.68,0,1,1,0,0,0,0,1,0,1,0,1,0,1
3466,1210.0,144.0,1.0,165.67,0,1,0,1,0,1,0,0,1,0,1,0,0,1
4652,0.0,144.0,1.0,164.46,0,1,0,1,0,0,1,0,0,1,1,0,0,1
3539,1376.0,144.0,1.0,177.72,0,1,0,1,1,0,0,0,1,0,1,0,0,0
3340,1710.0,144.0,0.0,184.52,0,1,0,1,0,0,1,0,1,0,1,0,0,0
2309,1255.0,144.0,0.0,109.63,0,1,0,1,0,0,1,0,0,1,1,0,0,0
3948,1733.0,144.0,0.0,216.32,0,1,0,1,1,0,0,0,1,0,1,0,0,0
2483,2466.0,72.0,0.0,54.71,0,1,0,1,1,0,0,0,1,0,1,0,0,1
7085,0.0,144.0,1.0,287.08,0,1,1,0,1,0,0,0,1,0,0,1,0,1
3859,0.0,144.0,1.0,124.49,0,1,0,1,0,0,1,0,1,0,0,1,0,1
4301,0.0,144.0,1.0,146.77,0,1,0,1,1,0,0,0,1,0,0,0,1,1
3708,2569.0,144.0,1.0,246.36,0,1,0,1,1,0,0,0,1,0,0,0,1,0
4354,0.0,144.0,1.0,149.44,0,1,1,0,0,0,1,0,1,0,1,0,0,1
8334,0.0,144.0,1.0,350.03,0,1,0,1,1,0,0,0,1,0,0,1,0,0
7740,0.0,72.0,1.0,125.05,0,1,0,1,0,0,0,1,1,0,0,0,1,1
3015,2188.0,144.0,1.0,192.23,0,1,0,1,1,0,0,0,1,0,1,0,0,1
5191,0.0,144.0,1.0,191.63,1,0,1,0,0,1,0,0,0,1,0,1,0,1
4166,0.0,144.0,0.0,139.97,0,1,1,0,1,0,0,0,1,0,0,1,0,0
6000,0.0,144.0,1.0,232.4,0,1,1,0,1,0,0,0,1,0,1,0,0,1
2947,1664.0,72.0,0.0,46.2,0,1,0,1,0,0,0,1,0,1,0,0,1,0
210,2917.0,144.0,1.0,87.6,1,0,0,1,0,0,1,0,0,1,0,1,0,1
4333,2451.0,144.0,1.0,271.91,0,1,0,1,1,0,0,0,1,0,0,0,1,0
3450,2079.0,144.0,1.0,208.66,0,1,0,1,0,1,0,0,1,0,0,1,0,1
2653,1500.0,72.0,0.0,34.66,0,1,0,1,0,1,0,0,0,1,1,0,0,0
4691,0.0,144.0,1.0,166.43,0,1,0,1,0,0,0,1,1,0,0,1,0,1
5532,4648.0,144.0,1.0,443.07,0,1,1,0,0,0,1,0,1,0,1,0,0,1
16525,1014.0,144.0,1.0,813.97,0,1,0,1,0,0,1,0,1,0,1,0,0,1
6700,1750.0,120.0,1.0,284.9,0,1,0,1,0,0,1,0,1,0,0,1,0,1
16667,2250.0,144.0,1.0,553.42,0,1,0,1,0,1,0,0,1,0,0,1,0,1
2947,1603.0,144.0,1.0,159.32,0,1,0,1,0,0,1,0,1,0,0,0,1,0
4350,0.0,144.0,1.0,149.24,1,0,1,0,1,0,0,0,0,1,1,0,0,1
3095,0.0,144.0,1.0,85.99,0,1,0,1,0,0,0,1,0,1,1,0,0,1
2083,3150.0,144.0,1.0,193.74,0,1,0,1,1,0,0,0,1,0,0,1,0,1
10833,0.0,144.0,1.0,475.98,0,1,0,1,1,0,0,0,1,0,0,1,0,1
8333,0.0,144.0,1.0,349.98,0,1,0,1,0,0,1,0,1,0,0,1,0,1
1958,2436.0,144.0,1.0,151.46,0,1,0,1,0,1,0,0,0,1,1,0,0,1
3547,0.0,144.0,0.0,108.77,0,1,1,0,0,0,1,0,1,0,1,0,0,0
18333,0.0,144.0,1.0,853.98,0,1,0,1,0,1,0,0,1,0,0,0,1,0
4583,2083.0,144.0,1.0,265.97,0,1,0,1,0,0,1,0,1,0,0,1,0,1
2435,0.0,144.0,1.0,52.72,0,1,1,0,1,0,0,0,1,0,0,0,1,0
3691,0.0,144.0,1.0,116.03,0,1,1,0,1,0,0,0,0,1,1,0,0,1
17263,0.0,144.0,1.0,800.06,1,0,1,0,1,0,0,0,0,1,0,1,0,1
3597,2157.0,144.0,0.0,220.0,0,1,0,1,1,0,0,0,1,0,1,0,0,0
3326,913.0,84.0,1.0,54.63,1,0,0,1,0,1,0,0,1,0,0,1,0,1
2600,1700.0,144.0,1.0,146.72,0,1,0,1,1,0,0,0,0,1,1,0,0,1
2895,0.0,144.0,1.0,75.91,0,1,0,1,0,1,0,0,1,0,0,1,0,1
6283,4416.0,144.0,0.0,469.23,0,1,1,0,1,0,0,0,1,0,1,0,0,0
645,3683.0,192.0,1.0,220.84,1,0,1,0,1,0,0,0,1,0,1,0,0,1
3159,0.0,144.0,1.0,89.21,1,0,1,0,1,0,0,0,1,0,0,1,0,1
4865,5624.0,144.0,1.0,458.65,0,1,0,1,0,0,1,0,1,0,0,1,0,1
3814,1483.0,120.0,1.0,152.47,0,1,0,1,1,0,0,0,0,1,0,1,0,1
3510,4416.0,144.0,1.0,329.47,0,1,0,1,0,0,1,0,1,0,1,0,0,1
2479,3013.0,144.0,1.0,206.8,0,1,0,1,1,0,0,0,1,0,0,0,1,1
13262,0.0,144.0,1.0,598.4,1,0,1,0,0,1,0,0,1,0,0,0,1,1
3598,1287.0,144.0,1.0,176.2,0,1,1,0,1,0,0,0,0,1,1,0,0,0
6065,2004.0,144.0,1.0,336.68,0,1,0,1,0,1,0,0,1,0,0,1,0,1
3283,2035.0,144.0,1.0,198.03,0,1,0,1,0,0,1,0,1,0,0,0,1,1
2130,6666.0,72.0,1.0,151.66,0,1,0,1,1,0,0,0,1,0,0,1,0,0
5815,3666.0,144.0,1.0,407.84,0,1,1,0,1,0,0,0,1,0,1,0,0,0
3466,3428.0,144.0,1.0,277.46,0,1,0,1,0,0,0,1,1,0,1,0,0,1
2031,1632.0,192.0,1.0,176.15,1,0,0,1,0,0,1,0,1,0,0,1,0,1
4683,1915.0,144.0,1.0,262.54,0,1,1,0,1,0,0,0,1,0,0,1,0,0
3400,0.0,144.0,1.0,101.36,1,0,1,0,1,0,0,0,0,1,1,0,0,0
2192,1742.0,144.0,1.0,128.27,0,1,0,1,0,0,1,0,0,1,0,1,0,1
2500,0.0,144.0,1.0,56.0,0,1,1,0,1,0,0,0,1,0,0,1,0,1
5677,1424.0,144.0,1.0,287.89,0,1,0,1,0,0,0,1,1,0,1,0,0,1
7948,7166.0,144.0,1.0,691.75,0,1,0,1,0,0,1,0,1,0,1,0,0,1
4680,2087.0,144.0,1.0,271.06,0,1,1,0,1,0,0,0,1,0,0,1,0,0
17500,0.0,144.0,1.0,812.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1
3775,0.0,144.0,1.0,120.26,0,1,0,1,1,0,0,0,1,0,0,1,0,1
5285,1430.0,144.0,0.0,268.44,0,1,0,1,0,1,0,0,0,1,0,1,0,1
2679,1302.0,144.0,1.0,130.64,0,1,1,0,0,1,0,0,0,1,0,1,0,1
6783,0.0,144.0,1.0,271.86,0,1,1,0,1,0,0,0,0,1,0,1,0,1
4281,0.0,144.0,1.0,145.76,0,1,0,1,0,0,0,1,1,0,0,0,1,1
3588,0.0,144.0,0.0,110.84,0,1,1,0,0,0,1,0,1,0,1,0,0,0
18165,0.0,144.0,1.0,845.52,1,0,1,0,1,0,0,0,0,1,0,0,1,1
2550,2042.0,144.0,1.0,161.44,0,1,1,0,1,0,0,0,0,1,1,0,0,1
6133,3906.0,144.0,1.0,435.97,0,1,0,1,1,0,0,0,1,0,0,0,1,1
3617,0.0,144.0,1.0,112.3,0,1,1,0,0,0,1,0,1,0,0,1,0,1
2917,536.0,144.0,1.0,104.03,0,1,0,1,1,0,0,0,0,1,1,0,0,0
6417,0.0,72.0,1.0,91.71,0,1,0,1,0,0,0,1,1,0,1,0,0,1
4608,2845.0,72.0,1.0,117.82,1,0,0,1,0,1,0,0,1,0,0,1,0,1
2138,0.0,144.0,0.0,37.76,1,0,1,0,1,0,0,0,1,0,0,1,0,0
3652,0.0,144.0,1.0,114.06,1,0,1,0,0,1,0,0,1,0,0,1,0,1
2239,2524.0,144.0,1.0,170.06,0,1,0,1,0,1,0,0,0,1,0,0,1,1
2768,1950.0,144.0,1.0,167.79,0,1,0,1,1,0,0,0,1,0,1,0,0,1
3358,0.0,36.0,1.0,42.31,0,1,1,0,1,0,0,0,0,1,0,1,0,0
2526,1783.0,144.0,1.0,147.17,0,1,1,0,1,0,0,0,1,0,1,0,0,1
5000,0.0,144.0,0.0,182.0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
2785,2016.0,144.0,1.0,171.97,0,1,0,1,1,0,0,0,1,0,1,0,0,1
6633,0.0,144.0,0.0,264.3,0,1,0,1,0,0,1,0,1,0,1,0,0,0
2492,2375.0,144.0,1.0,175.3,0,1,0,1,0,1,0,0,0,1,1,0,0,1
3333,3250.0,144.0,1.0,261.78,0,1,0,1,0,1,0,0,1,0,0,0,1,1
2454,2333.0,144.0,0.0,171.26,0,1,0,1,1,0,0,0,0,1,0,0,1,0
3593,4266.0,72.0,0.0,128.05,0,1,0,1,1,0,0,0,1,0,1,0,0,0
5468,1032.0,144.0,1.0,257.6,0,1,0,1,0,1,0,0,1,0,0,1,0,1
10139,0.0,144.0,1.0,441.01,0,1,0,1,0,0,0,1,1,0,0,1,0,1
3887,2669.0,144.0,1.0,260.42,0,1,0,1,1,0,0,0,1,0,0,1,0,1
4180,2306.0,144.0,1.0,256.89,1,0,0,1,1,0,0,0,1,0,0,1,0,1
3675,242.0,144.0,1.0,127.42,0,1,0,1,0,0,1,0,0,1,0,1,0,1
19484,0.0,144.0,1.0,911.99,1,0,0,1,0,1,0,0,1,0,0,1,0,1
5923,2054.0,144.0,1.0,332.04,0,1,0,1,1,0,0,0,1,0,1,0,0,1
5800,0.0,144.0,1.0,222.32,0,1,1,0,1,0,0,0,0,1,0,1,0,1
8799,0.0,144.0,0.0,373.47,0,1,0,1,0,0,1,0,1,0,0,0,1,0
3333,0.0,144.0,1.0,97.98,0,1,1,0,1,0,0,0,1,0,0,0,1,1
3400,2500.0,144.0,0.0,227.36,0,1,0,1,0,0,0,1,1,0,1,0,0,0
2378,0.0,144.0,1.0,49.85,1,0,1,0,1,0,0,0,1,0,0,0,1,0
3166,2064.0,144.0,0.0,193.59,0,1,0,1,1,0,0,0,1,0,0,0,1,0
3417,1750.0,144.0,1.0,190.42,0,1,0,1,0,1,0,0,1,0,0,0,1,1
16666,0.0,144.0,1.0,769.97,0,1,0,1,0,0,1,0,1,0,0,0,1,1
6125,1625.0,192.0,1.0,450.8,0,1,0,1,0,0,1,0,0,1,0,1,0,0
6406,0.0,144.0,1.0,252.86,0,1,0,1,0,0,0,1,1,0,0,1,0,0
3159,461.0,84.0,1.0,36.43,0,1,0,1,0,0,1,0,1,0,0,0,1,1
3229,2739.0,144.0,1.0,230.79,0,1,1,0,1,0,0,0,1,0,0,0,1,1
1782,2232.0,144.0,1.0,132.31,0,1,0,1,0,1,0,0,1,0,1,0,0,1
3182,2917.0,144.0,1.0,237.39,0,1,1,0,1,0,0,0,1,0,0,0,1,1
6540,0.0,144.0,1.0,259.62,0,1,0,1,0,0,1,0,1,0,0,1,0,1
3166,0.0,144.0,1.0,89.57,1,0,0,1,1,0,0,0,1,0,0,1,0,1
2787,1917.0,144.0,0.0,167.08,0,1,0,1,0,1,0,0,1,0,1,0,0,0
4283,3000.0,84.0,1.0,144.12,0,1,0,1,0,1,0,0,1,0,1,0,0,0
2297,1522.0,144.0,1.0,122.48,0,1,0,1,1,0,0,0,1,0,0,0,1,1
2165,0.0,144.0,1.0,39.12,1,0,1,0,1,0,0,0,0,1,0,1,0,1
2726,0.0,144.0,0.0,67.39,0,1,0,1,0,0,1,0,1,0,0,1,0,0
3000,3416.0,72.0,1.0,91.68,0,1,0,1,1,0,0,0,1,0,0,1,0,1
6000,0.0,96.0,1.0,131.6,0,1,0,1,0,0,1,0,1,0,0,1,0,0
3859,3300.0,72.0,1.0,110.41,0,1,0,1,1,0,0,0,1,0,1,0,0,1
16120,0.0,144.0,1.0,742.45,0,1,0,1,1,0,0,0,1,0,0,0,1,1
3833,0.0,144.0,1.0,123.18,0,1,1,0,1,0,0,0,0,1,1,0,0,1
6383,1000.0,144.0,1.0,302.1,0,1,0,1,0,0,1,0,0,1,1,0,0,0
9963,0.0,144.0,1.0,432.14,0,1,0,1,1,0,0,0,1,0,1,0,0,1
5780,0.0,144.0,1.0,221.31,0,1,0,1,0,0,1,0,1,0,0,0,1,1
2894,2792.0,144.0,1.0,216.57,0,1,0,1,1,0,0,0,0,1,1,0,0,1
5703,0.0,144.0,1.0,217.43,0,1,0,1,0,0,0,1,1,0,0,0,1,1
3676,4301.0,144.0,1.0,332.04,0,1,1,0,1,0,0,0,1,0,1,0,0,1
12000,0.0,144.0,1.0,534.8,1,0,0,1,0,1,0,0,1,0,0,1,0,1
2400,3800.0,72.0,1.0,86.24,0,1,0,1,1,0,0,0,0,1,0,0,1,0
3400,2500.0,144.0,1.0,227.36,0,1,0,1,0,1,0,0,1,0,0,1,0,1
3987,1411.0,144.0,1.0,202.06,0,1,0,1,0,0,1,0,0,1,1,0,0,1
3232,1950.0,144.0,1.0,191.17,0,1,0,1,1,0,0,0,1,0,1,0,0,1
2900,0.0,144.0,1.0,76.16,1,0,1,0,1,0,0,0,1,0,1,0,0,1
4106,0.0,72.0,1.0,33.47,0,1,0,1,0,0,0,1,1,0,1,0,0,1
8072,240.0,144.0,1.0,348.92,0,1,0,1,0,1,0,0,1,0,0,0,1,1
7583,0.0,144.0,1.0,312.18,0,1,0,1,0,0,1,0,1,0,0,0,1,1
4583,0.0,144.0,0.0,160.98,1,0,1,0,1,0,0,0,1,0,0,1,0,0
